"o","38",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009870489",
"o","38",,"------------------------------------------
",,"stdout","1639009870489",
"o","38",,"7 |   |   |   |   | p |   |   |   | 
",,"stdout","1639009870489",
"o","38",,"------------------------------------------
",,"stdout","1639009870489",
"o","38",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009870489",
"o","38",,"Hit Enter to flip back card at 7, 5",,"stdout","1639009870489",
"o","38",,"  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1639009879592",
"o","38",,"------------------------------------------
",,"stdout","1639009879592",
"o","38",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009879592",
"o","38",,"------------------------------------------
",,"stdout","1639009879592",
"o","38",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009879592",
"o","38",,"------------------------------------------
",,"stdout","1639009879592",
"o","38",,"3 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009879592",
"o","38",,"------------------------------------------
",,"stdout","1639009879592",
"o","38",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009879592",
"o","38",,"------------------------------------------
",,"stdout","1639009879592",
"o","38",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009879592",
"o","38",,"------------------------------------------
",,"stdout","1639009879592",
"o","38",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009879592",
"o","38",,"------------------------------------------
",,"stdout","1639009879592",
"o","38",,"7 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009879592",
"o","38",,"------------------------------------------
",,"stdout","1639009879592",
"o","38",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009879592",
"o","38",,"Hit Enter to flip card at 3, 3",,"stdout","1639009879592",
"o","38",,"  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1639009881641",
"o","38",,"------------------------------------------
",,"stdout","1639009881641",
"o","38",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009881641",
"o","38",,"------------------------------------------
",,"stdout","1639009881641",
"o","38",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009881641",
"o","38",,"------------------------------------------
",,"stdout","1639009881641",
"o","38",,"3 |   |   | i |   |   |   |   |   | 
",,"stdout","1639009881641",
"o","38",,"------------------------------------------
",,"stdout","1639009881641",
"o","38",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009881641",
"o","38",,"------------------------------------------
",,"stdout","1639009881641",
"o","38",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009881641",
"o","38",,"------------------------------------------
",,"stdout","1639009881641",
"o","38",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009881641",
"o","38",,"------------------------------------------
",,"stdout","1639009881641",
"o","38",,"7 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009881641",
"o","38",,"------------------------------------------
",,"stdout","1639009881641",
"o","38",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009881641",
"o","38",,"Hit Enter to try to flip a card that is already flipped when we don't want that to happen",,"stdout","1639009881641",
"o","38",,"This better not have happened. If it did, hit Enter.  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1639009893102",
"o","38",,"------------------------------------------
",,"stdout","1639009893102",
"o","38",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009893102",
"o","38",,"------------------------------------------
",,"stdout","1639009893102",
"o","38",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009893102",
"o","38",,"------------------------------------------
",,"stdout","1639009893102",
"o","38",,"3 |   |   | v |   |   |   |   |   | 
",,"stdout","1639009893102",
"o","38",,"------------------------------------------
",,"stdout","1639009893102",
"o","38",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009893102",
"o","38",,"------------------------------------------
",,"stdout","1639009893102",
"o","38",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009893102",
